10284027,52896447,Private room,Ferrymead,25,5.0,2,1.0,46.0,1.0
5414245,28009020,Private room,Linwood,66,4.5,2,1.0,45.0,1.0
10772286,55065476,Entire home/apt,Lyttelton,34,5.0,2,0.0,64.0,1.0
2238148,6155840,Entire home/apt,Styx Mill,94,5.0,2,1.0,68.0,2.0
12174722,12374893,Entire home/apt,Linwood,12,5.0,4,2.0,139.0,2.0
6066847,18171177,Entire home/apt,Sumner,36,4.5,4,1.0,57.0,1.0
9159486,12074259,Private room,Jellie Park,64,5.0,4,1.0,90.0,1.0
2198811,6017715,Entire home/apt,Hillmorton,56,4.5,2,1.0,36.0,1.0
1095260,6017715,Private room,Hillmorton,64,4.5,2,1.0,31.0,1.0
10046200,40346134,Private room,Hagley Park,26,5.0,2,1.0,64.0,1.0
6676910,34943562,Entire home/apt,Sydenham,14,4.5,2,1.0,75.0,2.0
11794904,62311039,Private room,Belfast South,6,5.0,2,1.0,41.0,1.0
14157495,74570513,Private room,Phillipstown,3,5.0,2,1.0,28.0,1.0
7751595,40754323,Private room,Hoon Hay,27,4.5,2,1.0,54.0,1.0
658808,3322575,Private room,Strowan,100,5.0,2,1.0,71.0,1.0
6483499,29973513,Private room,St Albans East,21,5.0,1,1.0,22.0,7.0
10071294,28992903,Entire home/apt,Sockburn,10,4.5,5,3.0,112.0,1.0
9454870,48995796,Entire home/apt,St Albans West,35,5.0,4,2.0,135.0,2.0
8848097,46333734,Private room,St Albans West,6,5.0,2,1.0,45.0,1.0
8640014,45424461,Private room,Avonhead,63,5.0,2,1.0,68.0,1.0
13832603,12097349,Entire home/apt,Avon Loop,9,5.0,2,1.0,64.0,1.0
9015847,448129,Private room,Mona Vale,13,5.0,2,1.0,60.0,2.0
8465817,29973513,Private room,Addington,7,4.5,1,1.0,25.0,2.0
2920256,14908770,Private room,Addington,32,5.0,2,1.0,60.0,2.0
7604566,4599856,Entire home/apt,Cathedral Square,66,5.0,2,1.0,128.0,1.0
8993137,46974382,Private room,Cashmere West,10,5.0,2,1.0,53.0,1.0
10969566,55183024,Entire home/apt,Oaklands West,4,5.0,16,8.0,30.0,1.0
4680718,24205506,Entire home/apt,Merivale,15,4.5,4,2.0,142.0,2.0
7619520,39963337,Private room,Wainoni,38,5.0,3,1.0,22.0,1.0
5086078,21226430,Private room,Mt Pleasant,11,5.0,2,1.0,74.0,1.0
12387774,58500737,Entire home/apt,Edgeware,3,5.0,4,2.0,74.0,1.0
13632399,4606077,Private room,Edgeware,4,5.0,2,1.0,39.0,2.0
2374084,10024497,Private room,Phillipstown,120,4.5,2,1.0,54.0,2.0
8744156,29406849,Private room,Holmwood,6,4.5,4,1.0,68.0,1.0
10011335,43239106,Private room,Harewood,3,4.5,4,1.0,116.0,1.0
1841463,6353005,Entire home/apt,Mt Pleasant,8,5.0,4,2.0,274.0,3.0
6173680,29973513,Private room,St Albans West,13,4.5,2,1.0,29.0,2.0
5281362,9270165,Private room,Merrin,77,5.0,2,1.0,53.0,1.0
10503500,40234999,Entire home/apt,St Albans East,19,4.5,4,3.0,128.0,2.0
6926868,35351889,Entire home/apt,Ilam,16,4.5,8,6.0,135.0,2.0
7940958,41879853,Entire home/apt,Belfast,27,4.5,4,2.0,90.0,1.0
12889215,3232554,Private room,Rawhiti,8,5.0,2,1.0,37.0,1.0
5968538,13289099,Private room,Edgeware,3,5.0,2,1.0,22.0,2.0
2488845,8014835,Entire home/apt,Cathedral Square,28,5.0,4,2.0,118.0,1.0
2572267,13171208,Entire home/apt,Bishopdale North,17,5.0,8,4.0,165.0,2.0
5376419,27873077,Private room,Mona Vale,4,5.0,2,1.0,64.0,1.0
11306741,59114316,Entire home/apt,Cathedral Square,3,5.0,6,3.0,210.0,2.0
8229695,43398377,Entire home/apt,Edgeware,37,5.0,4,2.0,148.0,1.0
7900002,37177745,Private room,Waimairi Beach,9,5.0,2,1.0,68.0,1.0
11640887,61713962,Entire home/apt,Riccarton,9,5.0,6,4.0,139.0,5.0
6645140,34398370,Private room,Sydenham,113,5.0,2,1.0,45.0,1.0
10994737,24205506,Entire home/apt,Sydenham,5,5.0,6,3.0,139.0,2.0
4868446,25042587,Entire home/apt,Papanui,37,5.0,6,3.0,149.0,1.0
13818428,73279211,Private room,Wigram,9,4.5,2,1.0,30.0,1.0
2142903,4235003,Entire home/apt,Moncks Bay,219,5.0,2,1.0,89.0,1.0
7703512,40351138,Entire home/apt,Ilam,12,5.0,11,3.0,233.0,1.0
